TaxonName,estimate,std.error,statistic,p.value,q.value
Alternanthera philoxeroides,-4.132728264201338,0.51385419130176,-8.042608845384313,8.794570959806986e-16,1.3191856439710479e-14
Azolla caroliniana,-2.298752117342547,0.4371609444239815,-5.258365704126344,1.453412671929189e-7,2.813056784379075e-7
Bacopa caroliniana,-1.3296864571356657,0.4195173175187902,-3.169562737004555,0.001526684958560442,0.0021302580817122445
Bidens spp.,-5.264965096083627,0.6569281195439266,-8.01452234947537,1.105658548746924e-15,1.3267902584963089e-14
Brasenia schreberi,-3.7796876143542963,1.3240357459685512,-2.8546718816789953,0.004308131268004545,0.00574417502400606
Cabomba caroliniana,-1.3435953041761861,0.39769893639937354,-3.378423176940391,7.290279877927743e-4,0.0010668702260382063
Carex spp.,-4.51301070804925,1.2957570316946803,-3.482914310059212,4.959870945455308e-4,7.439806418182962e-4
Cephalanthus occidentalis,-10.602141571735407,2.092138975189528,-5.067608651941945,4.0284456407378166e-7,6.905906812693399e-7
Ceratophyllum demersum,-0.5673621634971086,0.34200763209650636,-1.658916673932623,0.09713258423733524,0.10792509359703917
Chara spp.,0.3404392378726051,0.25011714891025716,1.3611191369959035,0.17347604291132343,0.1826063609592878
Cicuta maculata,-6.951908129786033,1.3513179599233274,-5.1445391358377845,2.6817834446805276e-7,4.73255902002446e-7
Cladium jamaicense,-4.17511015356022,0.5091125748815842,-8.200760223868599,2.388715582777732e-16,7.166146748333196e-15
Decodon verticillatus,-4.490221751102071,1.2294487952212498,-3.6522234749061,2.599794850597872e-4,3.9996843855351875e-4
Echinochloa spp.,-2.84037759588769,0.38717280821107214,-7.33620113719149,2.1974171003403917e-13,1.318450260204235e-12
Eichhornia crassipes,-3.255933049969105,0.47454154999979103,-6.861218053446613,6.827585105490552e-12,2.619487886059683e-11
Hydrilla verticillata,-0.9903874189173614,0.3722179405288013,-2.6607729265019873,0.007796151469212973,0.009952533790484646
Hydrocotyle spp.,-5.442515632630838,0.7690378995204825,-7.077044754262962,1.4726098699864392e-12,6.7966609383989494e-12
Hygrophila polysperma,-3.6452661389341054,0.9283382586580894,-3.926657233973453,8.613459263504916e-5,1.3600198837113026e-4
Hypericum spp.,-7.256862791070439,2.9321105732892163,-2.4749621849798635,0.013325028373251823,0.015990034047902186
Juncus effusus,-5.259847280971382,0.7669701680330958,-6.857955498400053,6.985301029492488e-12,2.619487886059683e-11
Leersia hexandra,-2.5608692813428955,0.4318326525271264,-5.930235396412108,3.0250069430189244e-9,9.075020829056774e-9
Limnobium spongia,-3.388843317633318,0.5820961745988039,-5.821792799049055,5.82196999628556e-9,1.6634199989387315e-8
Limnophila sessiliflora,-5.473331790171101,2.068281122076546,-2.6463190771068383,0.008137302093959402,0.010171627617449252
Ludwigia octovalvis/peruviana,-17.87316086498477,3.377700206940824,-5.291517828686298,1.2130536224040683e-7,2.4261072448081365e-7
Luziola fluitans,-3.3864306313714234,0.6219898605444766,-5.444510989949281,5.194789693505904e-8,1.246749526441417e-7
Mayaca fluviatilis,-1.4168767608821884,0.9108548707636256,-1.5555461208593346,0.1198160592681853,0.13070842829256576
Micranthemum umbrosum,-7.697908682665165,1.6821286343142352,-4.576290139548943,4.732940284609966e-6,7.675038299367513e-6
Myriophyllum aquaticum,-2.7926164276421495,0.5203076687807194,-5.367240567847715,7.995038768940553e-8,1.7766752819867897e-7
Myriophyllum heterophyllum,-3.018533063237086,1.4436948984788756,-2.090838629697668,0.036542531969768005,0.042164459965116925
Najas guadalupensis,0.9830439839155174,0.313558937411753,3.135117091638257,0.0017178552889896665,0.002342529939531363
Nitella spp.,1.643565051287297,0.3046353261590991,5.395188640824037,6.845159737688324e-8,1.579652247158844e-7
Nymphaea mexicana,0.8459655566144355,0.3632321067185516,2.3289944390018564,0.019859360304715207,0.023363953299664952
Nymphaea odorata,-2.4253016351030587,0.4339765084623766,-5.588555112570844,2.2896671264371977e-8,5.973044677662255e-8
Nymphoides aquatica,-2.9622921921880243,0.5574182386294779,-5.314307977204694,1.0706341296823158e-7,2.2151050958944467e-7
Panicum hemitomon,-2.6215781593815963,0.4245609290805835,-6.174798432486022,6.624793455347416e-10,2.092040038530763e-9
Panicum repens,-3.747329147486594,0.5988109780547798,-6.257949978906006,3.9007088111544217e-10,1.3767207568780312e-9
Paspalidium geminatum,-0.9838021295917845,0.29920110022266033,-3.2880966308601667,0.0010086721205294043,0.0014409601721848634
Paspalum repens,-3.758276631692737,0.7063105838318939,-5.320997189796081,1.0319999711141496e-7,2.2114285095303205e-7
Phragmites australis,-3.506404850850486,0.6750710663441214,-5.194126997383526,2.056827057042913e-7,3.7396855582598413e-7
Pistia stratiotes,-2.954123018368777,0.5281826907883689,-5.592994753310515,2.2318603780291925e-8,5.973044677662255e-8
Pontederia cordata,-2.902125007042544,0.39471047298395234,-7.352541180635294,1.944735900170752e-13,1.2964906001138347e-12
Potamogeton illinoensis,-0.7604741048235907,0.3661209920003965,-2.07711145069433,0.03779127397205478,0.042782574307986536
Rhynchospora spp.,-5.315232480613538,0.8536496310875038,-6.226480147179608,4.770306385299209e-10,1.5901021284330696e-9
Ruppia maritima,-1.794249522548238e-5,1.731585934197701,-1.0361885524206288e-5,0.9999917324115196,0.9999917324115196
Sacciolepis striata,-3.8045679461251036,0.4802563778529684,-7.921951943946659,2.3381068237973538e-15,2.3381068237973537e-14
Sagittaria kurziana,-1.2715881815529333,0.8444743024560152,-1.5057748682875576,0.13212497696303638,0.14156247531753896
Sagittaria lancifolia,-4.636445986783981,0.6076681899005223,-7.6298974733941325,2.3494048215561783e-14,2.013775561333867e-13
Sagittaria latifolia,-3.773242203920119,0.5218665194504354,-7.230282195327699,4.819914282190579e-13,2.629044153922134e-12
Salix spp.,-5.4562839370966785,0.6719293246464441,-8.120324172438325,4.649401069714796e-16,9.29880213942959e-15
Saururus cernuus,-9.28645397354553,1.6737968739906273,-5.548136764890105,2.8872998964041426e-8,7.218249741010357e-8
Thalia geniculata,-9.645726170226421,1.3884968748345166,-6.946883601287195,3.734435688373541e-12,1.6004724378743746e-11
Typha spp.,-27.72860065794895,11753.965591783688,-0.00235908472263454,0.9981177244680828,0.9999917324115196
Urochloa mutica,-3.9746821453894245,0.45767915614207205,-8.684429019869128,3.806495556899381e-18,2.2838973341396285e-16
Utricularia foliosa,-6.697571527013505,0.9414395022244686,-7.114181539215458,1.1257889001977997e-12,5.6289445009889984e-12
Utricularia gibba,-6.2377241499962235,0.8482125508259521,-7.353963512945195,1.9241427750533714e-13,1.2964906001138347e-12
Utricularia inflata or Utricularia floridana,-5.16316467607237,0.9908113696129547,-5.211047061449528,1.8777780662789243e-7,3.5208338742729833e-7
Utricularia purpurea,-8.775141068799293,1.875356878276986,-4.679184623708312,2.880180090582938e-6,4.800300150971564e-6
Vallisneria americana,-0.43436164489248885,0.5422874544720417,-0.8009804418495594,0.423142968532495,0.43773410537844315
Wolffia spp.,-8.817290656964568,3.2211692896274635,-2.73729502058686,0.006194671152443715,0.008080005851013542
Zizaniopsis miliacea,-3.697053711770059,1.454239555996346,-2.542259077279114,0.011013850170652565,0.013486347147737835
