TaxonName,Origin,Habitat
Cabomba caroliniana,native,submersed
Ceratophyllum demersum,native,submersed
Chara spp.,native,submersed
"Eleocharis spp., sub/floating",native,submersed
Fontinalis spp.,native,submersed
Luziola fluitans,native,submersed
Mayaca fluviatilis,native,submersed
Micranthemum glomeratum,native,submersed
Myriophyllum heterophyllum,native,submersed
Myriophyllum laxum/pinnatum,native,submersed
Najas filifolia,native,submersed
Najas guadalupensis,native,submersed
Najas marina,native,submersed
Nitella spp.,native,submersed
Potamogeton diversifolius,native,submersed
Potamogeton illinoensis,native,submersed
Potamogeton pusillus,native,submersed
Proserpinaca spp.,native,submersed
Ruppia maritima,native,submersed
Stuckenia pectinata,native,submersed
Utricularia floridana,native,submersed
Utricularia foliosa,native,submersed
Utricularia gibba,native,submersed
Utricularia inflata,native,submersed
Utricularia purpurea,native,submersed
Vallisneria americana,native,submersed
Bacopa caroliniana,native,emergent
Bacopa monnieri,native,emergent
Bidens spp.,native,emergent
Brasenia schreberi,native,emergent
Carex spp.,native,emergent
Cephalanthus occidentalis,native,emergent
Cicuta maculata,native,emergent
Cladium jamaicense,native,emergent
Crinum americanum,native,emergent
Cyperus articulatus,native,emergent
Cyperus spp. (other natives),native,emergent
Decodon verticillatus,native,emergent
Echinochloa spp.,native,emergent
Echinodorus spp.,native,emergent
"Eleocharis spp., emersed",native,emergent
Fuirena spp.,native,emergent
Hydrocotyle spp.,native,emergent
Hymenocallis spp.,native,emergent
Hypericum spp.,native,emergent
Juncus effusus,native,emergent
Juncus repens,native,emergent
Juncus roemerianus,native,emergent
Leersia hexandra,native,emergent
Ludwigia octovalvis/peruviana,native,emergent
Ludwigia palustris/repens,native,emergent
Micranthemum umbrosum,native,emergent
Nelumbo lutea,native,emergent
Nuphar advena,native,emergent
Nymphaea mexicana,native,emergent
Nymphaea odorata,native,emergent
Nymphoides aquatica,native,emergent
Orontium aquaticum,native,emergent
Panicum hemitomon,native,emergent
Paspalidium geminatum,native,emergent
Paspalum repens,native,emergent
Peltandra spp.,native,emergent
Phragmites australis,native,emergent
Pontederia cordata,native,emergent
Rhynchospora spp.,native,emergent
Sacciolepis striata,native,emergent
Sagittaria kurziana,native,emergent
Sagittaria lancifolia,native,emergent
Sagittaria latifolia,native,emergent
Sagittaria subulata/graminea/gracillima,native,emergent
Salix spp.,native,emergent
Saururus cernuus,native,emergent
Sparganium americanum,native,emergent
Spartina bakeri,native,emergent
Thalia geniculata,native,emergent
Typha spp.,native,emergent
Zizania aquatica,native,emergent
Zizaniopsis miliacea,native,emergent
Azolla caroliniana,native,floating
Filamentous algae,native,floating
Lemna/Spirodela spp.,native,floating
Limnobium spongia,native,floating
Wolffia spp.,native,floating
Egeria densa,non-native,submersed
Hydrilla verticillata,non-native,submersed
Hygrophila polysperma,non-native,submersed
Myriophyllum spicatum,non-native,submersed
Najas minor,non-native,submersed
Alternanthera philoxeroides,non-native,emergent
Colocasia esculenta,non-native,emergent
Cyperus blepharoleptos,non-native,emergent
Limnophila sessiliflora,non-native,emergent
Myriophyllum aquaticum,non-native,emergent
Panicum repens,non-native,emergent
Pennisetum purpureum,non-native,emergent
Urochloa mutica,non-native,emergent
Ceratopteris thalictroides,non-native,floating
Eichhornia crassipes,non-native,floating
Pistia stratiotes,non-native,floating
Salvinia minima,non-native,floating
